timestamp,quat_i,quat_j,quat_k,quat_real,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
2026-09-02 07:30:00.000,0.0,0.03,-0.96,0.28,0.52,0.03,0.17,-0.03,-0.094,0.063
2026-09-02 07:30:00.100,0.0,0.03,-0.96,0.28,0.85,0.17,0.02,0.054,0.037,0.001
2026-09-02 07:30:00.200,0.0,0.03,-0.96,0.28,0.65,0.04,0.05,0.09,-0.128,0.008
2026-09-02 07:30:00.300,0.0,0.03,-0.96,0.28,0.62,-0.01,-0.02,0.094,0.031,0.085
2026-09-02 07:30:00.400,0.0,0.03,-0.96,0.28,0.78,0.27,0.14,0.023,0.01,-0.074
2026-09-02 07:30:00.500,0.0,0.03,-0.96,0.28,0.83,-0.25,-0.21,0.026,0.11,0.041
2026-09-02 07:30:00.600,0.0,0.03,-0.96,0.28,0.27,-0.15,-0.11,0.005,-0.062,-0.013
2026-09-02 07:30:00.700,0.0,0.03,-0.96,0.28,0.65,0.04,0.49,-0.062,0.004,0.025
2026-09-02 07:30:00.800,0.001,0.03,-0.96,0.28,0.47,0.26,0.1,0.04,0.065,-0.081
2026-09-02 07:30:00.900,0.001,0.03,-0.96,0.28,0.52,-0.08,-0.1,-0.091,-0.003,-0.13
2026-09-02 07:30:01.000,0.001,0.03,-0.96,0.28,0.77,-0.38,0.16,-0.07,0.023,-0.022
2026-09-02 07:30:01.100,0.001,0.03,-0.96,0.28,0.53,0.2,0.01,-0.015,-0.064,0.044
2026-09-02 07:30:01.200,0.001,0.03,-0.96,0.28,0.72,0.04,0.31,-0.017,-0.003,0.02
2026-09-02 07:30:01.300,0.001,0.03,-0.959,0.28,0.81,0.4,-0.01,0.044,-0.071,-0.016
2026-09-02 07:30:01.400,0.001,0.03,-0.959,0.28,0.41,0.32,-0.01,0.07,-0.065,0.028
2026-09-02 07:30:01.500,0.001,0.03,-0.959,0.28,0.54,-0.28,-0.51,0.03,0.04,-0.005
2026-09-02 07:30:01.600,0.001,0.03,-0.959,0.28,0.63,0.1,0.1,0.014,-0.087,-0.033
2026-09-02 07:30:01.700,0.001,0.03,-0.959,0.28,0.51,0.18,-0.13,0.082,-0.015,-0.06
2026-09-02 07:30:01.800,0.001,0.03,-0.959,0.28,0.73,-0.13,-0.14,-0.046,0.04,-0.025
2026-09-02 07:30:01.900,0.001,0.03,-0.959,0.28,0.78,-0.17,0.39,-0.055,0.051,0.106
2026-09-02 07:30:02.000,0.001,0.03,-0.959,0.28,0.64,-0.01,0.06,0.002,0.031,-0.11
2026-09-02 07:30:02.100,0.001,0.03,-0.959,0.28,0.44,-0.27,-0.14,-0.051,-0.018,-0.184
2026-09-02 07:30:02.200,0.001,0.03,-0.959,0.28,0.68,0.1,-0.25,0.055,0.065,0.063
2026-09-02 07:30:02.300,0.002,0.03,-0.959,0.28,0.63,-0.06,-0.14,-0.025,0.019,-0.137
2026-09-02 07:30:02.400,0.002,0.03,-0.959,0.28,0.52,0.14,0.1,0.033,0.05,0.015
2026-09-02 07:30:02.500,0.002,0.03,-0.959,0.28,0.73,-0.27,-0.01,0.064,0.015,-0.126
2026-09-02 07:30:02.600,0.002,0.03,-0.959,0.28,0.73,-0.14,0.24,0.074,-0.005,0.034
2026-09-02 07:30:02.700,0.002,0.03,-0.959,0.28,0.37,0.1,0.17,0.014,-0.028,-0.082
2026-09-02 07:30:02.800,0.002,0.03,-0.959,0.28,0.43,-0.23,0.14,0.011,0.057,-0.019
2026-09-02 07:30:02.900,0.002,0.03,-0.959,0.28,0.6,-0.1,0.01,-0.083,-0.057,0.086
2026-09-02 07:30:03.000,0.002,0.03,-0.959,0.28,0.86,-0.11,0.02,-0.041,-0.03,0.094
2026-09-02 07:30:03.100,0.002,0.03,-0.959,0.28,0.66,-0.07,0.24,-0.084,0.068,0.074
2026-09-02 07:30:03.200,0.002,0.03,-0.959,0.28,0.54,0.03,0.03,0.062,0.017,0.014
2026-09-02 07:30:03.300,0.002,0.03,-0.959,0.28,0.43,-0.08,-0.26,-0.049,0.016,-0.03
2026-09-02 07:30:03.400,0.002,0.03,-0.959,0.28,0.9,0.03,-0.07,-0.008,0.013,-0.002
2026-09-02 07:30:03.500,0.002,0.03,-0.959,0.28,0.23,0.08,-0.13,-0.095,-0.061,0.044
2026-09-02 07:30:03.600,0.002,0.03,-0.959,0.28,0.51,0.44,0.24,-0.082,0.05,-0.033
2026-09-02 07:30:03.700,0.002,0.03,-0.959,0.28,0.26,-0.05,0.01,-0.065,0.012,-0.019
2026-09-02 07:30:03.800,0.003,0.03,-0.958,0.28,0.58,-0.06,0.14,-0.0,0.003,-0.003
2026-09-02 07:30:03.900,0.003,0.03,-0.958,0.28,0.71,0.21,0.04,-0.042,0.033,-0.083
2026-09-02 07:30:04.000,0.003,0.03,-0.958,0.28,0.72,-0.04,0.15,0.04,0.027,0.106
2026-09-02 07:30:04.100,0.003,0.03,-0.958,0.28,0.29,-0.16,-0.16,0.081,0.027,-0.033
2026-09-02 07:30:04.200,0.003,0.03,-0.958,0.28,0.4,0.42,-0.01,-0.067,-0.026,0.038
2026-09-02 07:30:04.300,0.003,0.03,-0.958,0.28,0.66,-0.22,0.12,-0.135,-0.05,0.152
2026-09-02 07:30:04.400,0.003,0.03,-0.958,0.28,0.62,0.12,-0.14,0.013,-0.017,0.057
2026-09-02 07:30:04.500,0.003,0.03,-0.958,0.28,0.71,0.14,-0.03,-0.042,0.028,-0.026
2026-09-02 07:30:04.600,0.003,0.03,-0.958,0.28,0.49,-0.04,-0.13,-0.036,-0.028,0.034
2026-09-02 07:30:04.700,0.003,0.03,-0.958,0.28,0.8,0.0,0.14,-0.153,-0.031,-0.016
2026-09-02 07:30:04.800,0.003,0.03,-0.958,0.28,0.54,-0.12,-0.04,0.134,-0.02,0.018
2026-09-02 07:30:04.900,0.003,0.03,-0.958,0.28,0.78,-0.03,0.02,-0.042,0.059,-0.027
2026-09-02 07:30:05.000,0.003,0.03,-0.958,0.28,0.63,-0.17,0.18,0.05,0.03,0.097
2026-09-02 07:30:05.100,0.003,0.03,-0.958,0.28,0.66,-0.13,-0.08,0.015,0.045,0.012
2026-09-02 07:30:05.200,0.003,0.03,-0.958,0.28,0.67,0.12,-0.1,0.012,0.089,0.005
2026-09-02 07:30:05.300,0.004,0.03,-0.958,0.28,0.68,0.04,0.04,-0.021,0.015,0.11
2026-09-02 07:30:05.400,0.004,0.03,-0.958,0.28,0.82,0.15,-0.12,0.062,-0.004,-0.056
2026-09-02 07:30:05.500,0.004,0.03,-0.958,0.28,0.5,-0.22,0.08,-0.027,0.054,-0.202
2026-09-02 07:30:05.600,0.004,0.03,-0.958,0.28,0.57,0.05,0.04,-0.003,0.014,0.049
2026-09-02 07:30:05.700,0.004,0.03,-0.958,0.28,0.89,-0.37,-0.03,0.034,0.014,-0.074
2026-09-02 07:30:05.800,0.004,0.03,-0.958,0.28,0.78,-0.22,0.1,0.026,-0.057,0.016
2026-09-02 07:30:05.900,0.004,0.03,-0.958,0.28,0.72,-0.17,-0.15,-0.018,-0.035,-0.028
2026-09-02 07:30:06.000,0.004,0.03,-0.958,0.28,0.68,0.07,0.2,-0.001,-0.125,0.064
2026-09-02 07:30:06.100,0.004,0.03,-0.958,0.28,0.95,-0.09,0.21,-0.02,-0.002,0.021
2026-09-02 07:30:06.200,0.004,0.03,-0.958,0.28,0.57,-0.06,-0.02,-0.029,-0.074,-0.113
2026-09-02 07:30:06.300,0.004,0.03,-0.958,0.28,0.68,0.04,0.09,0.026,0.087,0.104
2026-09-02 07:30:06.400,0.004,0.03,-0.957,0.28,0.46,-0.01,0.15,-0.036,-0.019,0.056
2026-09-02 07:30:06.500,0.004,0.03,-0.957,0.28,0.74,-0.18,0.01,0.01,0.007,0.031
2026-09-02 07:30:06.600,0.004,0.03,-0.957,0.28,0.48,0.04,0.13,-0.008,-0.024,-0.107
2026-09-02 07:30:06.700,0.004,0.03,-0.957,0.28,0.69,-0.1,0.04,0.038,0.046,0.106
2026-09-02 07:30:06.800,0.004,0.03,-0.957,0.28,0.52,0.15,0.0,-0.02,-0.063,-0.058
2026-09-02 07:30:06.900,0.005,0.03,-0.957,0.28,0.6,0.11,-0.01,0.062,0.007,0.045
2026-09-02 07:30:07.000,0.005,0.03,-0.957,0.28,0.54,0.27,-0.15,-0.066,0.026,-0.026
2026-09-02 07:30:07.100,0.005,0.03,-0.957,0.28,0.83,-0.5,0.14,0.014,-0.025,0.015
2026-09-02 07:30:07.200,0.005,0.03,-0.957,0.28,0.85,-0.08,0.2,0.034,0.021,0.042
2026-09-02 07:30:07.300,0.005,0.03,-0.957,0.28,0.65,-0.14,0.05,0.002,0.017,-0.028
2026-09-02 07:30:07.400,0.005,0.029,-0.957,0.28,0.74,0.29,-0.06,-0.03,-0.019,-0.04
2026-09-02 07:30:07.500,0.005,0.029,-0.957,0.28,0.39,-0.23,0.13,0.008,-0.079,-0.058
